Year,Month,DEPART MONTH,ORIGIN AIRPORT,ORIGIN CITY,DESTINATION AIRPORT,DESTINATION CITY,CARRIER,SEATS ,PASSENGER COUNT,DELAY Mins
2024,7,7/1/2024,DCA,"Washington, DC",DEN,"Denver, CO",UA,7355,6256,3.55
2024,7,7/1/2024,DCA,"Washington, DC",DEN,"Denver, CO",F9,2967,2592,5.6
2024,7,7/1/2024,DCA,"Washington, DC",DEN,"Denver, CO",F9,218,189,5.1
2024,7,7/1/2024,DCA,"Washington, DC",DEN,"Denver, CO",F9,17733,15128,3
2024,7,7/1/2024,DCA,"Washington, DC",LAX,"Los Angeles, CA",DL,9548,8499,19.55
2024,7,7/1/2024,DCA,"Washington, DC",LAX,"Los Angeles, CA",AA,19163,16825,5.15
2024,7,7/1/2024,DCA,"Washington, DC",LAX,"Los Angeles, CA",AS,9563,8791,18.4
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",OO,872,650,28.85
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",YX,813,593,5.5
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",UA,1664,1292,5.4
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",UA,13883,10131,1.5
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",UA,256,195,2.3
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",UA,6377,4687,6.9
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",UA,11242,8072,1.5
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",UA,1045,751,28
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",AA,14557,10193,10
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",AA,3911,2890,1.25
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",AA,297,176,23.75
2024,7,7/1/2024,DCA,"Washington, DC",ORD,"Chicago, IL",AA,9862,7529,1.7
2024,7,7/1/2024,DEN,"Denver, CO",DEN,"Denver, CO",OO,1042,128,5.4
2024,7,7/1/2024,DEN,"Denver, CO",DEN,"Denver, CO",OO,1494,328,2.7
2024,7,7/1/2024,DEN,"Denver, CO",DEN,"Denver, CO",OO,508,199,2.6
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",DL,4091,3179,4.7
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",DL,8011,6440,1.25
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",OO,155,113,1.8
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",OO,11687,9494,2.25
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",SY,149,116,1.9
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",UA,142,113,19.5
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",UA,10404,8264,2.1
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",UA,4645,3610,6.95
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",UA,13101,10546,25.2
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",UA,566,459,2.4
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",UA,409,334,13
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",UA,5205,4228,47.5
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",UA,4509,3564,39.15
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",UA,130,104,1.75
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",UA,135,109,2.75
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",WN,4650,3830,61.1
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",WN,15069,12520,9.65
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",WN,6632,5457,5.75
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",F9,772,592,5.55
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",F9,2936,2290,3.75
2024,7,7/1/2024,DEN,"Denver, CO",LAX,"Los Angeles, CA",F9,150,115,5.9
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",OO,166,116,10.45
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",OO,147,119,7.4
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",UA,14017,10720,49.7
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",UA,136,104,11.8
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",UA,346,274,26.05
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",UA,18206,14100,4
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",UA,308,246,9.5
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",UA,7948,6218,3.3
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",UA,8963,7005,2.3
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",AA,12950,9881,10.7
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",AA,451,337,20.85
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",AA,206,154,6.1
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",WN,2882,2294,5.9
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",WN,10217,8243,13.4
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",WN,3864,3034,4.95
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",F9,155,119,5.35
2024,7,7/1/2024,DEN,"Denver, CO",ORD,"Chicago, IL",F9,4064,3112,19.15
2024,7,7/1/2024,EWR,"Newark, NJ",DEN,"Denver, CO",SY,234,208,0.75
2024,7,7/1/2024,EWR,"Newark, NJ",DEN,"Denver, CO",UA,244,204,2.05
2024,7,7/1/2024,EWR,"Newark, NJ",DEN,"Denver, CO",UA,27526,23309,7.5
2024,7,7/1/2024,EWR,"Newark, NJ",DEN,"Denver, CO",UA,236,198,1.7
2024,7,7/1/2024,EWR,"Newark, NJ",DEN,"Denver, CO",UA,15705,13406,8.75
2024,7,7/1/2024,EWR,"Newark, NJ",DEN,"Denver, CO",UA,241,220,3.3
2024,7,7/1/2024,EWR,"Newark, NJ",DEN,"Denver, CO",UA,22955,19340,27.1
2024,7,7/1/2024,EWR,"Newark, NJ",DEN,"Denver, CO",UA,1929,1636,3.3
2024,7,7/1/2024,EWR,"Newark, NJ",DEN,"Denver, CO",UA,801,649,34.85
2024,7,7/1/2024,EWR,"Newark, NJ",LAX,"Los Angeles, CA",FX,1386,1197,1.8
2024,7,7/1/2024,EWR,"Newark, NJ",LAX,"Los Angeles, CA",UA,49039,43140,3
2024,7,7/1/2024,EWR,"Newark, NJ",LAX,"Los Angeles, CA",UA,363,324,5.4
2024,7,7/1/2024,EWR,"Newark, NJ",LAX,"Los Angeles, CA",UA,1365,1195,2.95
2024,7,7/1/2024,EWR,"Newark, NJ",LAX,"Los Angeles, CA",UA,20604,17561,11.96
